Sorting Algorithm, Size, Swaps, Comparisons, Function Calls, Time Taken
Bubble Sort, 1000, 250102, 499500, 1, 0.002000
Bubble Sort, 2000, 995574, 1999000, 1, 0.010000
Bubble Sort, 3000, 2227207, 4498500, 1, 0.022000
Bubble Sort, 4000, 3977576, 7998000, 1, 0.040000
Bubble Sort, 5000, 6187299, 12497500, 1, 0.061000
Bubble Sort, 6000, 8938260, 17997000, 1, 0.089000
Bubble Sort, 7000, 12177890, 24496500, 1, 0.122000
Bubble Sort, 8000, 15914238, 31996000, 1, 0.164000
Bubble Sort, 9000, 20158364, 40495500, 1, 0.209000
Bubble Sort, 10000, 24712201, 49995000, 1, 0.259000
Selection Sort, 1000, 999, 499500, 1, 0.001000
Selection Sort, 2000, 1999, 1999000, 1, 0.004000
Selection Sort, 3000, 2999, 4498500, 1, 0.010000
Selection Sort, 4000, 3999, 7998000, 1, 0.017000
Selection Sort, 5000, 4999, 12497500, 1, 0.028000
Selection Sort, 6000, 5999, 17997000, 1, 0.040000
Selection Sort, 7000, 6999, 24496500, 1, 0.053000
Selection Sort, 8000, 7999, 31996000, 1, 0.069000
Selection Sort, 9000, 8999, 40495500, 1, 0.087000
Selection Sort, 10000, 9999, 49995000, 1, 0.106000
Insertion Sort, 1000, 251091, 250102, 1, 0.001000
Insertion Sort, 2000, 997557, 995574, 1, 0.003000
Insertion Sort, 3000, 2230186, 2227207, 1, 0.006000
Insertion Sort, 4000, 3981548, 3977576, 1, 0.011000
Insertion Sort, 5000, 6192266, 6187299, 1, 0.018000
Insertion Sort, 6000, 8944220, 8938260, 1, 0.025000
Insertion Sort, 7000, 12184844, 12177890, 1, 0.035000
Insertion Sort, 8000, 15922188, 15914238, 1, 0.045000
Insertion Sort, 9000, 20167305, 20158364, 1, 0.059000
Insertion Sort, 10000, 24722134, 24712201, 1, 0.073000
Count Sort, 1000, 7, 1998, 1, 0.000000
Count Sort, 2000, 7, 3998, 1, 0.000000
Count Sort, 3000, 7, 5998, 1, 0.000000
Count Sort, 4000, 7, 7998, 1, 0.000000
Count Sort, 5000, 7, 9998, 1, 0.000000
Count Sort, 6000, 7, 11998, 1, 0.000000
Count Sort, 7000, 7, 13998, 1, 0.000000
Count Sort, 8000, 7, 15998, 1, 0.000000
Count Sort, 9000, 7, 17998, 1, 0.000000
Count Sort, 10000, 7, 19998, 1, 0.000000
Merge Sort, 1000, 9976, 8845, 2998, 0.000000
Merge Sort, 2000, 21952, 19683, 5998, 0.000000
Merge Sort, 3000, 34904, 31154, 8998, 0.001000
Merge Sort, 4000, 47904, 43273, 11998, 0.001000
Merge Sort, 5000, 61808, 55704, 14998, 0.001000
Merge Sort, 6000, 75808, 68326, 17998, 0.001000
Merge Sort, 7000, 89808, 81442, 20998, 0.002000
Merge Sort, 8000, 103808, 94613, 23998, 0.002000
Merge Sort, 9000, 118616, 108014, 26998, 0.002000
Merge Sort, 10000, 133616, 121383, 29998, 0.002000
Quick Sort, 1000, 4708, 13638, 2425, 0.000000
Quick Sort, 2000, 11069, 32150, 5398, 0.001000
Quick Sort, 3000, 16346, 56334, 8398, 0.000000
Quick Sort, 4000, 21745, 85435, 11398, 0.000000
Quick Sort, 5000, 29521, 124236, 14398, 0.001000
Quick Sort, 6000, 31037, 161481, 17398, 0.001000
Quick Sort, 7000, 38302, 205618, 20398, 0.001000
Quick Sort, 8000, 42718, 253819, 23398, 0.001000
Quick Sort, 9000, 45061, 308862, 26398, 0.002000
Quick Sort, 10000, 55080, 378358, 29398, 0.002000
